agents, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 
expectation, 4.004340, 7.584840, 11.699860, 16.202320, 20.966379, 26.002439, 31.256821, 36.694061, 42.272881, 47.964401, 53.947498, 59.852379, 65.937424, 72.122864, 78.610802, 85.032898, 91.521103, 98.033417, 104.697540, 111.500458, 118.178299, 124.996460, 132.257339, 139.188599, 146.008926, 153.348587, 160.489365, 167.812820, 175.036163, 182.242722, 189.790665, 197.045898, 204.894287, 212.058044, 219.691818, 227.293137, 234.930862, 242.511475, 250.462753, 258.096344, 266.058044, 273.581604, 281.420715, 289.438690, 296.978973, 305.565735, 313.260925, 321.386871, 
